"station","prov","year","annual","winter","spring","summer","autumn"
"AGASSIZ","BC",1892,9.78920706148314,2.23667744327386,9.71911653371023,17.0200202481317,10.3196188613914
"AGASSIZ","BC",2017,10.8700940059648,3.99468932712971,10.3992511432269,17.8302415154227,11.2484395073407
"ALERT","NU",1949,-18.7253862346973,-32.9149732620321,-23.506542464268,0.984277066731895,-19.542804693112
"ALERT","NU",2019,-16.4961321422766,-29.41637002155,-21.9643379971987,1.8036829805285,-16.1855535158433
"AMOS","QC",1913,1.04556632200831,-14.4619007316705,-0.0432260118243484,14.9461057398324,3.44418259304926
"AMOS","QC",2012,1.22911432505664,-15.1818157801967,0.522293212041099,15.7326760109614,4.16379376710494
"ANEROID","SK",1921,3.4481530759651,-11.6326570435076,3.42850560984801,17.1152621124042,4.6149699601801
"ANEROID","SK",2006,4.5512985034097,-9.65597150508329,5.01646624306247,18.1556272558713,4.92013927171276
"ANNAPOLIS ROYAL","NS",1914,6.56830492253847,-5.10741110391151,4.57936819048277,16.9183343013812,8.92233962888767
"ANNAPOLIS ROYAL","NS",2007,7.17640649749578,-2.48915617279215,5.20265194345931,17.3988664979966,9.76902733100147
"ARBORG","MB",1960,0.178555171948219,-19.5023607184847,0.62413153687514,16.5910371566859,2.73651447311284
"ARBORG","MB",2017,2.44348805138195,-14.4240566023975,2.47116806433016,17.8914221698046,4.26067700923944
"ARCTIC BAY","NU",1937,-15.4135237639232,-30.3514897670075,-19.8512193239156,2.10325320948553,-13.4369566078622
"ARCTIC BAY","NU",2016,-14.2608348873545,-28.1387855159072,-19.1403152347067,2.85888931347262,-12.4273240710038
"AROOSTOOK","NB",1927,3.64340123248602,-11.3553075014969,2.14653404826708,17.3815177026486,6.00989846490823
"AROOSTOOK","NB",2014,4.79943659222383,-9.43901902562411,4.20606295154305,17.6268353950722,7.17931876821414
"ATHABASCA","AB",1918,0.568081168572718,-14.6412987801479,0.993035376507336,13.7685033272927,1.653857378433
"ATHABASCA","AB",2012,2.58559156435148,-12.4644060659657,3.73997823773909,15.958203641937,3.19074163366707
"ATIKOKAN","ON",1917,1.9481284996883,-15.0273329252436,1.58482865445134,15.9983346639996,4.22474121199052
"ATIKOKAN","ON",2019,2.64140753685511,-13.4541301210417,2.68877491718442,17.7367397889401,4.853854863058
"ATLIN","BC",1904,-0.347443376105762,-14.3057871829113,-0.712803382913389,11.0546938773545,1.46719320631698
"ATLIN","BC",2019,1.34709523917216,-10.2434593019386,1.10650947714923,12.5012941384376,1.96413890944225
"BAGOTVILLE","QC",1883,0.690583875909013,-15.7707640053989,-0.467146701418649,15.1335449425388,3.49744352441368
"BAGOTVILLE","QC",2019,3.74189101005226,-11.8476648748711,2.93912071038029,17.8936540318415,6.19708887294203
"BAIE COMEAU","QC",1965,1.7523510328023,-12.4067327158595,0.338382209240024,14.6863683140133,4.43499974162304
"BAIE COMEAU","QC",2019,3.20991891717276,-10.2801876949259,1.66065113004739,15.7336928728158,5.85859841578019
"BAKER LAKE","NU",1948,-12.7204708084661,-32.4539749336749,-17.3967687139749,7.65586239923378,-9.02572807649544
"BAKER LAKE","NU",2018,-10.2394973883113,-27.9649071448175,-15.8314749780509,9.7292122276319,-6.38080618360065
"BANFF","AB",1888,1.57382331141565,-9.25450047123961,1.26112921446619,11.9146020799771,2.25147939084364
"BANFF","AB",2019,3.13476501656502,-7.58012164606971,3.03250357781962,13.5868357968582,3.46725428212501
"BARKERVILLE","BC",1887,0.530460067440185,-9.02046851089051,0.197457501704474,10.3117339569332,0.708871176977272
"BARKERVILLE","BC",2009,2.27578342679254,-7.09909633302288,1.47640936272357,11.7530941087822,2.69916417592909
"BATHURST","NB",1921,3.34194760455211,-11.128874353526,1.59649410710466,16.8891278135048,6.00067708111337
"BATHURST","NB",2019,4.81593126610213,-8.6452009648372,3.07058836648187,17.6394895498392,7.21360458205037
"BATTLE HARBOUR","NL",1883,-0.206278085251659,-12.6684125788677,-3.31566934450608,11.3391646946199,3.72376527981359
"BATTLE HARBOUR","NL",2019,0.628389942044469,-10.2589415399276,-2.42197105886225,11.0295231859085,4.09233027559615
"BAY D'ESPOIR","NL",1967,4.37777315296567,-5.91836832169599,2.32232303285079,14.4380067643743,6.61843256938847
"BAY D'ESPOIR","NL",2010,5.29057232049947,-4.80937445508368,2.8276061972404,15.3429943630214,8.08511075281201
"BEATRICE","ON",1878,4.16131111118857,-9.40333692299956,2.85643557940704,16.9622795202429,6.3792118283194
"BEATRICE","ON",2018,5.03639997536553,-8.58958193657604,4.17455166364478,17.2195517430863,7.1804884220026
"BEAUCEVILLE","QC",1914,3.65486200454965,-11.6775078011154,2.65096081966442,17.1367756969068,6.37436150468583
"BEAUCEVILLE","QC",2016,4.87306429744348,-9.23440022487812,4.03618165082617,17.8928281601544,6.9771945248659
"BEAVERDELL","BC",1938,4.86759625696488,-5.91280188194426,4.36096621739892,15.3949657031639,5.66914635957916
"BEAVERDELL","BC",2005,4.90753762113357,-5.44573590686229,5.63722650096271,14.7736180485132,4.71910954524611
"BEAVERLODGE","AB",1914,1.68275075431492,-12.5623999864293,1.87136333678561,14.1579606715811,3.16853226727584
"BEAVERLODGE","AB",2019,2.62600089672296,-9.96701177827663,3.15076679386565,14.7207362081812,2.692957870228
"BELLA COOLA","BC",1902,6.71420670532455,-2.01530649945055,6.6989435986225,14.9632096271817,7.28434422748727
"BELLA COOLA","BC",2017,8.66501739604835,0.888244378118017,8.65315227123121,16.5756313213377,8.35923895922231
"BELLETERRE","QC",1950,2.25610307486846,-14.1741855450015,0.959008578915249,15.6064852947518,4.77688931278651
"BELLETERRE","QC",2000,1.74708442613719,-14.13587592829,1.64557306435981,16.249759045237,4.17933515764664
"BELLEVILLE","ON",1920,6.72958439390359,-6.74694676938311,5.41768441627249,19.4240698361177,8.83004567524529
"BELLEVILLE","ON",2019,8.42218512632757,-4.80618724707121,7.03877167171108,20.8858501471825,10.464835650867
"BERENS RIVER","MB",1908,-0.104666505551187,-18.9834700752436,-0.589799462414303,16.9903135649233,2.81617891253726
"BERENS RIVER","MB",2019,0.703636450571318,-16.2981996809246,0.125498431682178,16.1974682580785,2.66384885730501
"BIG TROUT LAKE","ON",1940,-3.60251699533681,-22.390151771903,-5.68615857309766,13.78464596476,0.317033295474918
"BIG TROUT LAKE","ON",2019,-1.45233574919939,-19.7229015834027,-2.42260406166406,14.8631065379884,1.16752645107298
"BIRTLE","MB",1903,0.679751930440919,-16.7314947435451,0.0515397594378513,16.228315393314,3.05026356357995
"BIRTLE","MB",1996,1.61456733412383,-16.0822507314674,2.61629477704304,16.9657694196567,3.00648370483442
"BLIND CHANNEL","BC",1957,8.77953800347919,3.20248569384834,8.10065625097596,14.9060499234829,9.04988123912753
"BLIND CHANNEL","BC",2017,9.79529472768634,4.49272174535052,9.07613174989849,15.6787708079578,9.7193914759802
"BLUE RIVER","BC",1945,3.67979880108177,-8.9492381107422,3.73539829510912,15.3983824737813,4.53575788061704
"BLUE RIVER","BC",2019,5.35191752946547,-5.2709801491024,5.7749101633746,15.7652017091201,4.85860831656606
"BRANDON","MB",1889,1.10336881681841,-17.3392098370399,1.46774955558165,16.9522311510652,3.34388528190168
"BRANDON","MB",2019,2.80036353169016,-14.4590963709677,3.06062433316007,18.2170172875495,4.32672228615054
"BROCHET","MB",1947,-5.63818329106792,-26.3356495512146,-7.32739367322381,13.3206305559062,-2.31014373313292
"BROCHET","MB",2006,-3.34071412917568,-22.0321824846135,-3.87151985960914,14.0266539245208,-1.9320468093465
"BROCKVILLE","ON",1914,6.17202062713433,-7.99435298899492,5.36397428102149,18.8491229453021,8.47736805705826
"BROCKVILLE","ON",2019,8.03676678388585,-5.32755989494661,6.64075929026042,20.3549507583536,10.2223338806648
"BROME","QC",1889,3.78865854551393,-9.81837899201699,2.74643734709723,15.7553265852491,6.16582851278228
"BROME","QC",2015,5.71654924223225,-8.30486838177841,5.00862239790612,18.4058999043945,7.71708606657387
"BROUGHTON","NU",1957,-11.7340209907124,-23.6554243197941,-16.7336649703449,1.71388233510304,-9.03788965215915
"BROUGHTON","NU",2019,-10.2601978297287,-22.427557623894,-14.864979366939,4.30231364593935,-6.42087773381557
"BUFFALO NARROWS","SK",1964,-0.646880630924798,-19.0682917003459,-0.163201223866352,15.1187589740702,0.87617997155192
"BUFFALO NARROWS","SK",2013,1.82316121745482,-13.9141891316082,1.8235952526766,16.852546055163,2.95506974771044
"BURWASH","YT",1965,-4.65981033841582,-21.7997047023514,-3.05319591254567,10.7486872525922,-4.17878315329325
"BURWASH","YT",2019,-2.35220899962813,-16.6163292568782,-1.64331490201441,12.3428579707017,-3.70891891891893
"CALGARY","AB",1884,2.62688242203164,-10.1047152057799,2.4870149871556,14.3618811683207,3.65207840906917
"CALGARY","AB",2019,4.90613018816697,-5.93467873361405,4.40237895223833,15.843583397087,5.33731553032477
"CALMAR","AB",1914,1.4821547695579,-13.4650641671706,1.7794717552049,14.3304306477457,3.00676732858868
"CALMAR","AB",2008,3.3205108916032,-10.1766951035279,4.104326924217,15.8099018659188,3.74712252267182
"CAMBRIDGE BAY","NU",1939,-15.9175298918597,-33.3196725026914,-20.9958356934493,5.16917933905249,-12.9719254521654
"CAMBRIDGE BAY","NU",2016,-12.8831707895934,-29.9838347781744,-19.1657254524342,6.48969776737454,-9.56751308046402
"CAMERON FALLS","ON",1923,1.47655176335316,-13.9851988035665,0.206850886730123,15.3908917735316,4.25611910803285
"CAMERON FALLS","ON",2019,2.74408879244089,-12.6784164844591,1.89942265439845,16.4468333300603,5.42318745677455
"CAMPSIE","AB",1911,1.10622982585715,-14.3807218206579,2.29715645667138,13.9510993695675,2.39285372554093
"CAMPSIE","AB",2014,2.30239578311845,-11.4287998071303,3.03859661472523,15.3850901433672,2.74568515470556
"CAMROSE","AB",1945,0.584750423981291,-15.5905669095052,0.958163493260912,14.4296883598078,2.34150122810578
"CAMROSE","AB",2019,3.31321278886345,-9.76226183568656,3.95074848344551,15.7235594971691,3.22723000916706
"CAPE DORSET","NU",1928,-9.8930753979274,-23.9735872952347,-12.8348524167313,2.87489778954293,-5.56888530484089
"CAPE DORSET","NU",2019,-7.40223985781609,-21.056058210427,-12.425998203078,6.52659886525915,-3.09130411918598
"CAPE DYER","NU",1958,-10.4754791341866,-22.8286889222437,-15.3721998659964,3.50630255212019,-7.83419867967465
"CAPE DYER","NU",2017,-10.8552431021355,-22.5774775595546,-14.4612218000618,2.69351500666415,-7.78073271297568
"CAPE HOOPER","NU",1958,-12.2293858712666,-24.5113072866591,-17.0575638650312,1.72583565761803,-9.16529477028486
"CAPE HOOPER","NU",2019,-10.4541024056252,-23.2643111033418,-15.5407335861125,3.87021969915142,-6.26555959747132
"CAPE PARRY","NT",1958,-12.6658733004358,-28.6076334077696,-18.0833547106052,4.10105085501387,-8.69979494794154
"CAPE PARRY","NT",2017,-10.0990384214503,-23.5154107149732,-15.0130888102315,5.34101951132965,-5.98685457213058
"CAPE SCOTT","BC",1920,8.58006626591088,4.42115947214421,7.93568921344551,12.6947233072845,9.32465042329695
"CAPE SCOTT","BC",2006,9.04475203956071,5.52757837885924,7.47527450171125,12.9523452150397,10.0929325940924
"CAPE ST JAMES","BC",1944,7.87379100879264,4.01315559136949,6.40352651341798,11.9952899159664,9.40349508847648
"CAPE ST JAMES","BC",2018,9.83730618322775,5.84220792753241,7.95269188873813,13.6764579831933,10.6749410247729
"CARIBOO LODGE","BC",1915,1.80336141572106,-9.43470195630695,2.87901060483434,11.6317813686062,2.6746471127406
"CARIBOO LODGE","BC",2008,3.1991544141004,-7.56843155423021,3.27512855422935,13.6955246700884,2.63032080659945
"CARTWRIGHT","NL",1933,-0.686560193953884,-12.221714841556,-3.06008717967609,10.1018548396999,2.68134120508395
"CARTWRIGHT","NL",2016,0.510500509369123,-11.8544145037303,-2.12528873663143,11.832776979654,3.92129452377216
"CARWAY","AB",1913,3.51905537088523,-7.33779550936167,2.42582274453838,14.4839609113079,4.771476469595
"CARWAY","AB",2019,4.74494670284382,-4.5745322901457,3.76298332701499,14.6195685550113,5.19450997419013
"CAUSAPSCAL","QC",1913,1.69398461973265,-13.4670781651674,0.628796957398187,15.6081545657073,3.8931206589265
"CAUSAPSCAL","QC",2012,2.96313522618421,-11.3854149330275,1.70178225363209,16.0292910413072,5.41118900235191
"CHAPLEAU","ON",1921,0.803434975397174,-14.3721186378483,0.0664465580622391,15.4175990335432,3.50239816781767
"CHAPLEAU","ON",2016,2.23471684277337,-13.6466606383344,1.33755476579174,16.1275613846873,4.19190194245256
"CHARLOTTETOWN","PE",1878,5.17663924832811,-6.99492837797723,2.44188238560031,16.9820079823532,8.26092800743809
"CHARLOTTETOWN","PE",2019,6.14510878750127,-5.35979441460891,3.39503884405195,17.5850947681776,9.01048021065108
"CHATHAM MIRA.","NB",1878,2.93582809179176,-11.4030554800844,1.36231396983333,16.1348790342528,5.60958168680081
"CHATHAM MIRA.","NB",2019,5.57772042513337,-7.55201698368378,3.79130921857245,18.2796137193704,7.79178569271
"CHELSEA","QC",1926,4.82185211054337,-10.720944489356,3.47812270697929,18.8999317168181,7.71223133043444
"CHELSEA","QC",2010,6.01063288860181,-8.72641260329252,5.42417179683709,19.4488972526511,8.0650834717721
"CHESTERFIELD","NU",1929,-12.0216110003691,-30.6924666996597,-16.6669368923096,6.10748094827886,-7.63819129147753
"CHESTERFIELD","NU",2014,-10.638162809144,-28.1432446789199,-15.3108064601969,8.34114886125656,-5.28741774506469
"CHIBOUGAMAU","QC",1913,-1.65910152915769,-19.0193761439288,-3.49385710336075,13.7881568534752,1.79220356118188
"CHIBOUGAMAU","QC",2017,0.382539159022635,-16.3399417224803,-0.622788895606114,15.2021839452292,3.15689460001402
"CHURCHILL","MB",1931,-7.39452994692951,-26.1939882001749,-10.8750812376754,9.86951927536626,-2.8031796632042
"CHURCHILL","MB",2019,-5.49675890826386,-22.8052636214373,-9.19287975877705,11.2193744031866,-1.27956411557224
"CHURCHILL FALLS","NL",1967,-4.04207314138056,-20.4600961834887,-5.37775213222394,11.414351727078,-1.48021686452776
"CHURCHILL FALLS","NL",2019,-1.97765805707918,-18.7343543438835,-4.46831215584777,12.992458580998,1.81058822976934
"CLYDE","NU",1947,-14.0512818934797,-29.3884237865479,-19.2777112695925,2.40580776739302,-9.4338447420624
"CLYDE","NU",2018,-11.5999881417348,-25.9987885123427,-17.2476726596377,3.90006913420925,-6.91988775792053
"COLD LAKE","AB",1924,0.746804771053839,-16.2642285797584,1.65430230105184,15.4144521689498,2.4647062016444
"COLD LAKE","AB",2019,2.71936504979779,-12.6519034608039,3.48672503440203,16.5850427966412,3.27002351989028
"COLLEGEVILLE","NS",1916,4.95534509468427,-6.14159486233272,2.20244942603662,15.7899951460791,7.7833966434857
"COLLEGEVILLE","NS",2015,6.32290434460912,-4.51346756713182,4.01805283335727,17.3408088252383,8.88588581337871
"COLLINS BAY","SK",1971,-3.85846331600231,-22.9943945858467,-3.67023531905873,12.8478424552821,-2.51022221799789
"COLLINS BAY","SK",2019,-2.99607163489312,-20.3073267618067,-5.07762702282519,14.3860476226877,-1.15629300840208
"COMOX","BC",1934,8.94231805297553,2.85701850552854,8.16798032379979,15.9206467839905,9.21215096280776
"COMOX","BC",2019,10.4606068991405,4.29137254485001,9.36604001040461,17.6746303548263,10.2924443290247
"CORAL HARBOUR","NU",1944,-11.9162484724637,-28.913172950748,-15.9372906962525,5.58512239678483,-8.51920373587321
"CORAL HARBOUR","NU",2016,-10.0627967200425,-26.7483229813665,-15.413249030049,7.63226890756304,-5.83777397236352
"CORNER BROOK","NL",1932,4.38067601375031,-5.68046966270524,1.76634426713536,14.905509631915,6.91312737128455
"CORNER BROOK","NL",2019,5.83323042966012,-4.25173123753332,2.7518882551215,16.4598063322497,8.23126876863754
"CORNWALL","ON",1949,6.16840522935364,-8.24786353500109,5.40550170105973,19.2174551975976,8.53933661765999
"CORNWALL","ON",2019,8.34745764610386,-5.56329666085585,7.20952348729495,21.1944783592884,10.3604513279333
"CORONATION","AB",1930,-1.15923731149347,-16.9118351841938,-0.636541784618856,13.3739677314763,0.638681607652892
"CORONATION","AB",2018,2.47211547295613,-11.8730318526449,2.72983539113304,15.5553697464381,2.87133445231123
"COTE","SK",1911,0.560710462333127,-18.229801200149,0.974344793002334,16.4814873671407,2.72082199975002
"COTE","SK",2007,1.38306626808357,-16.0548107054616,1.99111691575769,16.8843623638491,2.66055451726375
"CRANBROOK","BC",1900,4.52237800765949,-8.10665284377119,5.35223411958122,15.6203936793347,4.92920119793928
"CRANBROOK","BC",2019,6.42389060383783,-4.88838355890636,6.75346664622251,17.8315751466277,6.04995930858028
"CRESTON","BC",1911,7.30313277602128,-3.18701106419726,7.3245145907324,17.7361390063198,7.15100598121035
"CRESTON","BC",2015,8.75432961703385,-0.708974021224883,8.76351078297951,18.8129536993736,8.40760396924793
"CYPRESS RIVER","MB",1949,1.95378890172523,-16.2661948830977,1.81409130816506,17.8470699733766,4.0036737277572
"CYPRESS RIVER","MB",2018,3.84354230622635,-12.6816996230574,4.22120280948202,18.6095550437235,5.40544344253725
"DANIELS HARBOUR","NL",1951,3.0482707878744,-6.63531488040367,0.164294882785802,12.5705454474836,5.88441051296415
"DANIELS HARBOUR","NL",2018,3.50307287252268,-6.26367958856921,0.541513039066702,13.7348775954681,6.84905642154875
"DARFIELD","BC",1912,5.99224285041902,-5.90879197105291,7.02595402479542,16.8209750536482,6.65886754493554
"DARFIELD","BC",2018,7.81251509599565,-3.04772428923419,8.54066260054234,18.6336009241538,6.87106271710389
"DAUPHIN","MB",1902,1.42973303935891,-16.4398048776895,0.982794192378734,17.0661460059272,4.11964673910511
"DAUPHIN","MB",2019,2.44064858788452,-14.1871017818078,2.36568623608352,17.5776218701676,3.94482078270691
"DAVIDSON","SK",1921,2.13911810152192,-15.1978643122165,2.20456457132727,17.2865776702095,3.69546676151347
"DAVIDSON","SK",2008,1.81759325050119,-14.0895733739382,2.48035117707868,16.8745474598316,2.9677393015822
"DAWSON","YT",1900,-6.42210766283362,-28.2429598542621,-4.62924116525758,12.637440169569,-5.50923021860361
"DAWSON","YT",2019,-3.82268597300719,-23.473916979616,-1.11982537972268,14.2609783215394,-5.29209933837069
"DAWSON CREEK","BC",1951,0.677783702635701,-15.0208433726209,1.61639740534203,13.6920890315731,2.21889012600103
"DAWSON CREEK","BC",2019,2.55978555317323,-10.1192944539654,2.88349013891138,15.0309287393513,2.38820590309953
"DEASE LAKE","BC",1943,-1.4460535588882,-16.904781810777,-0.628001246422286,11.4137499097671,0.106382903940112
"DEASE LAKE","BC",2019,-0.247311889654071,-13.1528227586519,1.07303116055766,12.0735586318746,-0.317354077012071
"DEER LAKE","NL",1932,3.41531690926303,-7.73319919239331,0.716110963429912,14.7656117844916,6.42319013626543
"DEER LAKE","NL",2019,4.51417604324994,-6.04598989752073,1.8957743135989,15.5183864901787,6.60014034726841
"DEMING","NS",1912,6.14630226623534,-1.90484691483172,2.89874572109602,13.6579620996751,9.68956457349213
"DEMING","NS",2011,5.88321551081345,-3.03964586735748,2.30052859342174,14.4300143633134,10.116910029364
"DEWAR LAKES","NU",1958,-13.4663911907162,-26.3940463236651,-19.145598563639,2.49014776057568,-11.2480563143517
"DEWAR LAKES","NU",2017,-12.1122499085711,-25.0593296070918,-16.8228464723254,4.37638004490611,-9.12674153455829
"DOAKTOWN","NB",1953,4.15366234290803,-9.16421085808838,2.77256185660104,16.4467699298713,6.45431192660548
"DOAKTOWN","NB",2009,5.25738665050995,-8.53647781892681,3.85829420263681,18.4720582002491,7.38205697730566
"DONNACONA","QC",1917,3.52032853959613,-11.7287851324107,2.60864939336512,16.9178605167451,5.89414291730193
"DONNACONA","QC",2009,5.37876902807761,-9.16525716602619,4.24555361693785,18.6096609995663,7.49082043373651
"DRUMMONDVILLE","QC",1912,4.57522007267784,-10.107958927895,3.85009316012668,17.9659186206271,7.10061958956672
"DRUMMONDVILLE","QC",2014,6.85783654945705,-7.74400480988008,5.94082324639434,20.2065430130523,8.81769288641857
"DRYDEN","ON",1913,0.876600519023839,-17.3762210801682,0.755970097394041,16.8390700144435,3.4488304773892
"DRYDEN","ON",2019,2.91521320178889,-13.8274171814447,2.92311345090814,17.8022143180193,4.57588774465219
"EARLTON","ON",1937,1.78036476280067,-14.2989206674038,0.869267283349558,16.1868792599805,4.44587738918097
"EARLTON","ON",2019,3.24258532523891,-12.7343125443533,2.65478334956182,17.3346397273612,5.7034705198092
"EDMONTON","AB",1882,0.348131892073475,-15.0403135325853,1.30976121866722,12.9099506225848,1.58361618174197
"EDMONTON","AB",2019,3.10334104778847,-10.3937022793884,3.42258727717502,15.9118133676828,3.72456881867634
"EDMUNDSTON","NB",1921,2.66760278190439,-11.8720079320511,1.56406798538259,15.7655813003024,5.18056798916555
"EDMUNDSTON","NB",2015,3.86252071526068,-10.4894560702282,2.90453219433465,16.9664890635341,5.99497490870177
"EDSON","AB",1915,1.6855018460443,-11.8543754753732,2.13370383149111,13.5277548568883,2.85433199031419
"EDSON","AB",2018,2.53852483502656,-9.51755945040534,3.11440188066708,14.2098131919516,2.321257548203
"ENNADAI LAKE","NU",1948,-9.97629447067295,-29.6599869876383,-13.7219623623315,9.96130470824405,-6.65869441131203
"ENNADAI LAKE","NU",2014,-7.24670304873167,-25.4406843123484,-11.6702629345034,11.9611409289125,-4.40141911813913
"ENTRANCE","AB",1916,2.59187201939387,-9.57094711497606,2.31960048741086,12.8629336838085,3.58607649348414
"ENTRANCE","AB",2016,3.29480014877116,-7.32647875062553,3.75178055559359,14.3532598434301,3.67888861757421
"ESTEVAN","SK",1901,1.7386577209089,-14.945914800635,2.22308735426738,16.5059982088296,4.6712616001669
"ESTEVAN","SK",2016,4.03033848692489,-11.7750623975164,4.12255703360974,18.5135023718859,4.78988063913359
"ESTEVAN POINT","BC",1922,8.90294626620219,4.96864056669603,7.5558218437227,12.9594141200616,9.92522404509241
"ESTEVAN POINT","BC",2019,9.76995535546737,5.86977728649905,8.59597259459856,14.1877565227264,10.5676959410524
"EUREKA","NU",1946,-20.1808689176639,-37.2604392953046,-25.5114192464786,3.32100988987239,-21.274939878612
"EUREKA","NU",2017,-18.2013544364069,-35.0700356994455,-24.1209336946979,4.47763967200705,-17.9427071802115
"EXPLOITS DAM","NL",1955,2.88916737559246,-7.2736759278037,0.280530066157148,13.2617856807981,5.38365912518853
"EXPLOITS DAM","NL",2007,3.66133173199508,-7.09954816467247,0.82326702377226,14.8151407983497,6.35165912518854
"FAIRVIEW","AB",1930,0.0762279134203183,-16.2798419564631,1.14150613504295,13.6922389937502,1.72331124483467
"FAIRVIEW","AB",2019,2.01777582212573,-11.7241453738577,2.66878089069955,15.1838935288606,2.07284696018182
"FAUQUIER","BC",1912,6.72841950861753,-3.47584227366543,6.98598411335433,16.7781387819437,6.71439406130403
"FAUQUIER","BC",2015,8.11245446766899,-0.887175917158281,7.6648103450963,17.8705579157787,7.67962946119348
"FLIN FLON","MB",1928,-1.22995308468603,-20.241011235955,-1.12607420909803,16.2154733479503,0.829414647597524
"FLIN FLON","MB",2019,1.57988862407876,-16.154531835206,1.50399960646143,17.7364323836663,2.84465834939938
"FORT CHIPEWYAN","AB",1882,-3.54924082648377,-23.2475983293134,-4.13000463429853,14.4826612877936,-0.654307090591702
"FORT CHIPEWYAN","AB",2019,-0.914079946451579,-18.7941993408065,-0.497504123911114,15.842605544795,0.37364259727118
"FORT FRANCES","ON",1916,1.95409119276133,-15.7157058895085,1.87508168850654,17.4721646505875,4.14603993021904
"FORT FRANCES","ON",2018,3.27246891471684,-13.0602264013604,3.40398071435997,17.3980534817563,5.12129094785811
"FORT GOOD HOPE","NT",1943,-8.50130641457029,-30.338939984268,-9.41914328758446,13.3938328201236,-7.41372146108935
"FORT GOOD HOPE","NT",2019,-4.73936121348072,-23.7920757293149,-5.93350332656483,15.8255449481026,-5.34772120507593
"FORT MCMURRAY","AB",1915,-1.65922736627068,-20.4234731850315,-0.274792134336032,14.2908934187536,0.269209027212625
"FORT MCMURRAY","AB",2019,1.96040176452472,-13.9600913343065,2.82163773640789,16.3150471753058,2.38167483773645
"FORT MCPHERSON","NT",1939,-8.9263796656744,-28.837068048478,-11.1106904418983,12.3567346903023,-8.01898965376413
"FORT MCPHERSON","NT",2005,-7.3056617815434,-25.6132933530912,-8.94854068715091,13.4806384709865,-7.55982438625948
"FORT NELSON","BC",1937,-1.76488633499851,-21.4728216671297,0.518537000973701,15.045404037309,-0.776044303797402
"FORT NELSON","BC",2019,0.319579620908151,-16.5091672620037,1.94475413826679,16.1201483655885,-0.515781762775483
"FORT RELIANCE","NT",1947,-7.78061323821946,-27.9519761902793,-10.3088025781628,11.203962182376,-3.95474389802759
"FORT RELIANCE","NT",2019,-5.18811846140231,-23.3221491120952,-8.41600906001303,13.8337567765676,-1.65001097277877
"FORT SIMPSON","NT",1896,-5.55047612495839,-26.6832916026068,-5.44067846321059,14.0995699754366,-3.66819696162046
"FORT SIMPSON","NT",2019,-1.8703658377627,-21.1480814090622,-0.723806289411414,16.4344074424895,-2.25662400248639
"FORT SMITH","NT",1913,-5.15524315148804,-25.2076508955626,-4.66076229150933,13.407117791787,-2.16247721519579
"FORT SMITH","NT",2019,-0.642054452815245,-19.0481956880207,-0.605950004681958,16.307569830706,0.0820205401222296
"FORT ST JAMES","BC",1894,1.00342704342175,-11.1857826349983,1.26646178468233,11.9756321514258,2.20296479587599
"FORT ST JAMES","BC",2011,3.71229970752771,-8.53511823035851,4.04276263517438,14.9240110281121,4.34341120220198
